ReadingDateTime,Site,Species,Value,Units,Provisional or Ratified
2005-07-07 03:45:00,BX1,FINE,5.0,ug/m3,P
2005-09-21 22:00:00,BX1,CO,0.6,mg m-3,R
2005-09-22 15:45:00,BX1,CO,0.3,mg m-3,R
2005-05-23 03:30:00,BX1,WSPD,2.1,m/s,P
2005-04-09 17:45:00,BX1,WDIR,62.0,oN,P
2005-03-04 15:00:00,BX1,CO,0.2,mg m-3,R
2005-01-07 02:30:00,BX1,WDIR,207.0,oN,P
2005-10-04 13:30:00,BX1,PM10,22.2,ug m-3 reference equiv by VCM,R
2005-03-06 21:15:00,BX1,FINE,7.0,ug/m3,P
2005-07-31 11:00:00,BX1,WDIR,275.0,oN,P
2005-04-09 01:15:00,BX1,FINE,35.0,ug/m3,P
2005-06-06 16:00:00,BX1,PM10,20.5,ug m-3 reference equiv by VCM,R
2005-07-09 14:30:00,BX1,FINE,13.0,ug/m3,P
2005-12-09 11:00:00,BX1,CO,0.2,mg m-3,R
2005-01-31 11:45:00,BX1,CO,,mg m-3,R
2005-10-29 15:15:00,BX1,WSPD,2.6,m/s,P
2005-10-27 01:15:00,BX1,WSPD,1.5,m/s,P
2005-02-23 03:15:00,BX1,PM10,9.4,ug m-3 reference equiv by VCM,R
2005-09-02 10:15:00,BX1,PM10,26.7,ug m-3 reference equiv by VCM,R
2005-11-26 08:15:00,BX1,PM10,10.0,ug m-3 reference equiv by VCM,R
2005-12-22 22:45:00,BX1,WSPD,3.7,m/s,P
2005-03-08 06:45:00,BX1,WDIR,208.0,oN,P
2005-04-12 20:15:00,BX1,CO,0.5,mg m-3,R
2005-01-20 13:30:00,BX1,CO,0.2,mg m-3,R
2005-07-27 09:00:00,BX1,WSPD,1.9,m/s,P
2005-01-18 17:15:00,BX1,FINE,11.0,ug/m3,P
2005-09-18 13:30:00,BX1,CO,0.3,mg m-3,R
2005-06-11 09:00:00,BX1,CO,0.1,mg m-3,R
2005-07-25 11:45:00,BX1,WDIR,280.0,oN,P
2005-01-09 20:00:00,BX1,FINE,13.0,ug/m3,P
2005-07-06 23:30:00,BX1,WSPD,1.0,m/s,P
2005-07-11 18:30:00,BX1,WDIR,134.0,oN,P
2005-07-16 10:45:00,BX1,WDIR,258.0,oN,P
2005-11-14 09:45:00,BX1,PM10,31.3,ug m-3 reference equiv by VCM,R
2005-01-05 09:30:00,BX1,FINE,20.0,ug/m3,P
2005-01-11 00:30:00,BX1,WSPD,2.3,m/s,P
2005-10-26 20:45:00,BX1,PM10,19.4,ug m-3 reference equiv by VCM,R
2005-04-23 09:15:00,BX1,CO,0.5,mg m-3,R
2005-01-28 21:30:00,BX1,FINE,4.0,ug/m3,P
2005-07-13 03:00:00,BX1,CO,0.1,mg m-3,R
2005-08-22 16:45:00,BX1,WDIR,318.0,oN,P
2005-12-07 17:00:00,BX1,WSPD,2.5,m/s,P
2005-11-01 05:45:00,BX1,WDIR,170.0,oN,P
2005-11-22 01:00:00,BX1,FINE,19.0,ug/m3,P
2005-09-16 03:00:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-09-03 22:30:00,BX1,CO,0.6,mg m-3,R
2005-12-20 18:00:00,BX1,FINE,29.0,ug/m3,P
2005-10-04 20:00:00,BX1,PM10,26.8,ug m-3 reference equiv by VCM,R
2005-01-25 04:45:00,BX1,CO,0.2,mg m-3,R
2005-03-15 17:45:00,BX1,PM10,30.1,ug m-3 reference equiv by VCM,R
2005-06-17 11:00:00,BX1,PM10,15.7,ug m-3 reference equiv by VCM,R
2005-05-18 18:30:00,BX1,PM10,17.7,ug m-3 reference equiv by VCM,R
2005-08-29 20:45:00,BX1,WDIR,161.0,oN,P
2005-01-13 18:45:00,BX1,CO,1.7,mg m-3,R
2005-02-24 20:00:00,BX1,PM10,27.1,ug m-3 reference equiv by VCM,R
2005-12-27 19:00:00,BX1,WSPD,2.8,m/s,P
2005-11-18 17:15:00,BX1,CO,0.3,mg m-3,R
2005-12-30 17:45:00,BX1,FINE,9.0,ug/m3,P
2005-01-28 03:30:00,BX1,WSPD,3.2,m/s,P
